week,week_starting,sku,wine,bottles,shelf_price,revenue
2026-W31,2026-07-27,FL-105,"Pinot Noir, Willamette 2023",9,38.00,342.00
2026-W31,2026-07-27,FL-106,"Sauvignon Blanc, Marlborough 2025",19,19.00,361.00
2026-W31,2026-07-27,FL-107,Rioja Crianza 2021,12,22.00,264.00
2026-W31,2026-07-27,FL-108,"Chardonnay, Sonoma 2023",11,28.00,308.00
2026-W31,2026-07-27,FL-109,Côtes du Rhône 2023,18,18.00,324.00
2026-W31,2026-07-27,FL-110,"Albariño, Rías Baixas 2024",10,23.00,230.00
2026-W31,2026-07-27,FL-111,"Cabernet Sauvignon, Paso Robles 2022",9,30.00,270.00
2026-W31,2026-07-27,FL-112,Grüner Veltliner 2024,8,20.00,160.00
2026-W31,2026-07-27,FL-113,Barbera d'Asti 2023,10,21.00,210.00
2026-W31,2026-07-27,FL-114,Crémant de Loire NV,8,26.00,208.00
2026-W31,2026-07-27,FL-115,"Zinfandel, Lodi 2022",9,22.00,198.00
2026-W31,2026-07-27,FL-116,Muscadet 2024,9,16.00,144.00
2026-W31,2026-07-27,TW-201,Prosecco NV,21,18.00,378.00
2026-W31,2026-07-27,TW-202,Vinho Verde 2025,20,13.00,260.00
2026-W31,2026-07-27,TW-203,Chianti Classico 2022,12,24.00,288.00
2026-W31,2026-07-27,TW-204,Montepulciano d'Abruzzo 2023,25,14.00,350.00
2026-W31,2026-07-27,TW-205,"Pinot Grigio, Alto Adige 2024",12,19.00,228.00
2026-W31,2026-07-27,TW-206,Nero d'Avola 2023,11,16.00,176.00
2026-W31,2026-07-27,TW-207,"Garnacha, Calatayud 2023",9,14.00,126.00
2026-W31,2026-07-27,TW-208,"Verdejo, Rueda 2024",8,15.00,120.00
2026-W31,2026-07-27,TW-209,Douro Red 2022,5,19.00,95.00
2026-W31,2026-07-27,TW-210,Lambrusco NV,6,17.00,102.00
2026-W31,2026-07-27,TW-211,"Primitivo, Puglia 2023",13,18.00,234.00
2026-W31,2026-07-27,TW-212,Txakoli 2024,6,24.00,144.00
2026-W32,2026-08-03,FL-101,Sancerre 2024,9,32.00,288.00
2026-W32,2026-08-03,FL-102,"House Malbec, Mendoza 2023",30,16.00,480.00
2026-W32,2026-08-03,FL-103,"Dry Rosé, Provence 2025",20,20.00,400.00
2026-W32,2026-08-03,FL-104,Champagne Brut NV,5,62.00,310.00
2026-W32,2026-08-03,FL-105,"Pinot Noir, Willamette 2023",7,38.00,266.00
2026-W32,2026-08-03,FL-106,"Sauvignon Blanc, Marlborough 2025",19,19.00,361.00
2026-W32,2026-08-03,FL-107,Rioja Crianza 2021,13,22.00,286.00
2026-W32,2026-08-03,FL-108,"Chardonnay, Sonoma 2023",8,28.00,224.00
2026-W32,2026-08-03,FL-109,Côtes du Rhône 2023,22,18.00,396.00
2026-W32,2026-08-03,FL-110,"Albariño, Rías Baixas 2024",8,23.00,184.00
2026-W32,2026-08-03,FL-111,"Cabernet Sauvignon, Paso Robles 2022",9,30.00,270.00
2026-W32,2026-08-03,FL-112,Grüner Veltliner 2024,7,20.00,140.00
2026-W32,2026-08-03,FL-113,Barbera d'Asti 2023,11,21.00,231.00
2026-W32,2026-08-03,FL-114,Crémant de Loire NV,7,26.00,182.00
2026-W32,2026-08-03,FL-115,"Zinfandel, Lodi 2022",9,22.00,198.00
2026-W32,2026-08-03,FL-116,Muscadet 2024,9,16.00,144.00
2026-W32,2026-08-03,TW-201,Prosecco NV,20,18.00,360.00
2026-W32,2026-08-03,TW-202,Vinho Verde 2025,25,13.00,325.00
2026-W32,2026-08-03,TW-203,Chianti Classico 2022,11,24.00,264.00
2026-W32,2026-08-03,TW-204,Montepulciano d'Abruzzo 2023,27,14.00,378.00
2026-W32,2026-08-03,TW-205,"Pinot Grigio, Alto Adige 2024",15,19.00,285.00
2026-W32,2026-08-03,TW-206,Nero d'Avola 2023,10,16.00,160.00
2026-W32,2026-08-03,TW-207,"Garnacha, Calatayud 2023",12,14.00,168.00
2026-W32,2026-08-03,TW-208,"Verdejo, Rueda 2024",8,15.00,120.00
2026-W32,2026-08-03,TW-209,Douro Red 2022,6,19.00,114.00
2026-W32,2026-08-03,TW-210,Lambrusco NV,7,17.00,119.00
2026-W32,2026-08-03,TW-211,"Primitivo, Puglia 2023",12,18.00,216.00
2026-W32,2026-08-03,TW-212,Txakoli 2024,5,24.00,120.00
2026-W33,2026-08-10,FL-101,Sancerre 2024,7,32.00,224.00
2026-W33,2026-08-10,FL-102,"House Malbec, Mendoza 2023",35,16.00,560.00
2026-W33,2026-08-10,FL-103,"Dry Rosé, Provence 2025",15,20.00,300.00
2026-W33,2026-08-10,FL-104,Champagne Brut NV,5,62.00,310.00
2026-W33,2026-08-10,FL-105,"Pinot Noir, Willamette 2023",10,38.00,380.00
2026-W33,2026-08-10,FL-106,"Sauvignon Blanc, Marlborough 2025",17,19.00,323.00
2026-W33,2026-08-10,FL-107,Rioja Crianza 2021,14,22.00,308.00
2026-W33,2026-08-10,FL-108,"Chardonnay, Sonoma 2023",8,28.00,224.00
2026-W33,2026-08-10,FL-109,Côtes du Rhône 2023,21,18.00,378.00
2026-W33,2026-08-10,FL-110,"Albariño, Rías Baixas 2024",10,23.00,230.00
2026-W33,2026-08-10,FL-111,"Cabernet Sauvignon, Paso Robles 2022",12,30.00,360.00
2026-W33,2026-08-10,FL-112,Grüner Veltliner 2024,7,20.00,140.00
2026-W33,2026-08-10,FL-113,Barbera d'Asti 2023,11,21.00,231.00
2026-W33,2026-08-10,FL-114,Crémant de Loire NV,7,26.00,182.00
2026-W33,2026-08-10,FL-115,"Zinfandel, Lodi 2022",9,22.00,198.00
2026-W33,2026-08-10,FL-116,Muscadet 2024,8,16.00,128.00
2026-W33,2026-08-10,TW-201,Prosecco NV,18,18.00,324.00
2026-W33,2026-08-10,TW-202,Vinho Verde 2025,26,13.00,338.00
2026-W33,2026-08-10,TW-203,Chianti Classico 2022,11,24.00,264.00
2026-W33,2026-08-10,TW-204,Montepulciano d'Abruzzo 2023,29,14.00,406.00
2026-W33,2026-08-10,TW-205,"Pinot Grigio, Alto Adige 2024",14,19.00,266.00
2026-W33,2026-08-10,TW-206,Nero d'Avola 2023,9,16.00,144.00
2026-W33,2026-08-10,TW-207,"Garnacha, Calatayud 2023",12,14.00,168.00
2026-W33,2026-08-10,TW-208,"Verdejo, Rueda 2024",9,15.00,135.00
2026-W33,2026-08-10,TW-209,Douro Red 2022,6,19.00,114.00
2026-W33,2026-08-10,TW-210,Lambrusco NV,7,17.00,119.00
2026-W33,2026-08-10,TW-211,"Primitivo, Puglia 2023",10,18.00,180.00
2026-W33,2026-08-10,TW-212,Txakoli 2024,4,24.00,96.00
2026-W34,2026-08-17,FL-101,Sancerre 2024,8,32.00,256.00
2026-W34,2026-08-17,FL-102,"House Malbec, Mendoza 2023",34,16.00,544.00
2026-W34,2026-08-17,FL-103,"Dry Rosé, Provence 2025",17,20.00,340.00
2026-W34,2026-08-17,FL-104,Champagne Brut NV,5,62.00,310.00
2026-W34,2026-08-17,FL-105,"Pinot Noir, Willamette 2023",8,38.00,304.00
2026-W34,2026-08-17,FL-106,"Sauvignon Blanc, Marlborough 2025",15,19.00,285.00
2026-W34,2026-08-17,FL-107,Rioja Crianza 2021,11,22.00,242.00
2026-W34,2026-08-17,FL-108,"Chardonnay, Sonoma 2023",10,28.00,280.00
2026-W34,2026-08-17,FL-109,Côtes du Rhône 2023,24,18.00,432.00
2026-W34,2026-08-17,FL-110,"Albariño, Rías Baixas 2024",9,23.00,207.00
2026-W34,2026-08-17,FL-111,"Cabernet Sauvignon, Paso Robles 2022",11,30.00,330.00
2026-W34,2026-08-17,FL-112,Grüner Veltliner 2024,7,20.00,140.00
2026-W34,2026-08-17,FL-113,Barbera d'Asti 2023,12,21.00,252.00
2026-W34,2026-08-17,FL-114,Crémant de Loire NV,7,26.00,182.00
2026-W34,2026-08-17,FL-115,"Zinfandel, Lodi 2022",10,22.00,220.00
2026-W34,2026-08-17,FL-116,Muscadet 2024,8,16.00,128.00
2026-W34,2026-08-17,TW-201,Prosecco NV,19,18.00,342.00
2026-W34,2026-08-17,TW-202,Vinho Verde 2025,26,13.00,338.00
2026-W34,2026-08-17,TW-203,Chianti Classico 2022,10,24.00,240.00
2026-W34,2026-08-17,TW-204,Montepulciano d'Abruzzo 2023,26,14.00,364.00
2026-W34,2026-08-17,TW-205,"Pinot Grigio, Alto Adige 2024",13,19.00,247.00
2026-W34,2026-08-17,TW-206,Nero d'Avola 2023,11,16.00,176.00
2026-W34,2026-08-17,TW-207,"Garnacha, Calatayud 2023",11,14.00,154.00
2026-W34,2026-08-17,TW-208,"Verdejo, Rueda 2024",9,15.00,135.00
2026-W34,2026-08-17,TW-209,Douro Red 2022,6,19.00,114.00
2026-W34,2026-08-17,TW-210,Lambrusco NV,6,17.00,102.00
2026-W34,2026-08-17,TW-211,"Primitivo, Puglia 2023",12,18.00,216.00
2026-W34,2026-08-17,TW-212,Txakoli 2024,5,24.00,120.00
2026-W35,2026-08-24,FL-101,Sancerre 2024,7,32.00,224.00
2026-W35,2026-08-24,FL-102,"House Malbec, Mendoza 2023",37,16.00,592.00
2026-W35,2026-08-24,FL-103,"Dry Rosé, Provence 2025",16,20.00,320.00
2026-W35,2026-08-24,FL-104,Champagne Brut NV,6,62.00,372.00
2026-W35,2026-08-24,FL-105,"Pinot Noir, Willamette 2023",8,38.00,304.00
2026-W35,2026-08-24,FL-106,"Sauvignon Blanc, Marlborough 2025",21,19.00,399.00
2026-W35,2026-08-24,FL-107,Rioja Crianza 2021,12,22.00,264.00
2026-W35,2026-08-24,FL-108,"Chardonnay, Sonoma 2023",9,28.00,252.00
2026-W35,2026-08-24,FL-109,Côtes du Rhône 2023,24,18.00,432.00
2026-W35,2026-08-24,FL-110,"Albariño, Rías Baixas 2024",9,23.00,207.00
2026-W35,2026-08-24,FL-111,"Cabernet Sauvignon, Paso Robles 2022",11,30.00,330.00
2026-W35,2026-08-24,FL-112,Grüner Veltliner 2024,6,20.00,120.00
2026-W35,2026-08-24,FL-113,Barbera d'Asti 2023,10,21.00,210.00
2026-W35,2026-08-24,FL-114,Crémant de Loire NV,9,26.00,234.00
2026-W35,2026-08-24,FL-115,"Zinfandel, Lodi 2022",10,22.00,220.00
2026-W35,2026-08-24,FL-116,Muscadet 2024,8,16.00,128.00
2026-W35,2026-08-24,TW-201,Prosecco NV,19,18.00,342.00
2026-W35,2026-08-24,TW-202,Vinho Verde 2025,25,13.00,325.00
2026-W35,2026-08-24,TW-203,Chianti Classico 2022,12,24.00,288.00
2026-W35,2026-08-24,TW-204,Montepulciano d'Abruzzo 2023,26,14.00,364.00
2026-W35,2026-08-24,TW-205,"Pinot Grigio, Alto Adige 2024",15,19.00,285.00
2026-W35,2026-08-24,TW-206,Nero d'Avola 2023,10,16.00,160.00
2026-W35,2026-08-24,TW-207,"Garnacha, Calatayud 2023",11,14.00,154.00
2026-W35,2026-08-24,TW-208,"Verdejo, Rueda 2024",8,15.00,120.00
2026-W35,2026-08-24,TW-209,Douro Red 2022,8,19.00,152.00
2026-W35,2026-08-24,TW-210,Lambrusco NV,6,17.00,102.00
2026-W35,2026-08-24,TW-211,"Primitivo, Puglia 2023",13,18.00,234.00
2026-W35,2026-08-24,TW-212,Txakoli 2024,5,24.00,120.00
2026-W36,2026-08-31,FL-101,Sancerre 2024,9,32.00,288.00
2026-W36,2026-08-31,FL-102,"House Malbec, Mendoza 2023",30,16.00,480.00
2026-W36,2026-08-31,FL-103,"Dry Rosé, Provence 2025",12,20.00,240.00
2026-W36,2026-08-31,FL-104,Champagne Brut NV,5,62.00,310.00
2026-W36,2026-08-31,FL-105,"Pinot Noir, Willamette 2023",9,38.00,342.00
2026-W36,2026-08-31,FL-106,"Sauvignon Blanc, Marlborough 2025",18,19.00,342.00
2026-W36,2026-08-31,FL-107,Rioja Crianza 2021,11,22.00,242.00
2026-W36,2026-08-31,FL-108,"Chardonnay, Sonoma 2023",10,28.00,280.00
2026-W36,2026-08-31,FL-109,Côtes du Rhône 2023,19,18.00,342.00
2026-W36,2026-08-31,FL-110,"Albariño, Rías Baixas 2024",10,23.00,230.00
2026-W36,2026-08-31,FL-111,"Cabernet Sauvignon, Paso Robles 2022",13,30.00,390.00
2026-W36,2026-08-31,FL-112,Grüner Veltliner 2024,8,20.00,160.00
2026-W36,2026-08-31,FL-113,Barbera d'Asti 2023,9,21.00,189.00
2026-W36,2026-08-31,FL-114,Crémant de Loire NV,8,26.00,208.00
2026-W36,2026-08-31,FL-115,"Zinfandel, Lodi 2022",8,22.00,176.00
2026-W36,2026-08-31,FL-116,Muscadet 2024,9,16.00,144.00
2026-W36,2026-08-31,TW-201,Prosecco NV,23,18.00,414.00
2026-W36,2026-08-31,TW-202,Vinho Verde 2025,27,13.00,351.00
2026-W36,2026-08-31,TW-203,Chianti Classico 2022,13,24.00,312.00
2026-W36,2026-08-31,TW-204,Montepulciano d'Abruzzo 2023,23,14.00,322.00
2026-W36,2026-08-31,TW-205,"Pinot Grigio, Alto Adige 2024",12,19.00,228.00
2026-W36,2026-08-31,TW-206,Nero d'Avola 2023,10,16.00,160.00
2026-W36,2026-08-31,TW-207,"Garnacha, Calatayud 2023",10,14.00,140.00
2026-W36,2026-08-31,TW-208,"Verdejo, Rueda 2024",9,15.00,135.00
2026-W36,2026-08-31,TW-209,Douro Red 2022,8,19.00,152.00
2026-W36,2026-08-31,TW-210,Lambrusco NV,6,17.00,102.00
2026-W36,2026-08-31,TW-211,"Primitivo, Puglia 2023",14,18.00,252.00
2026-W36,2026-08-31,TW-212,Txakoli 2024,5,24.00,120.00
2026-W37,2026-09-07,FL-101,Sancerre 2024,8,32.00,256.00
2026-W37,2026-09-07,FL-102,"House Malbec, Mendoza 2023",38,16.00,608.00
2026-W37,2026-09-07,FL-103,"Dry Rosé, Provence 2025",12,20.00,240.00
2026-W37,2026-09-07,FL-104,Champagne Brut NV,5,62.00,310.00
2026-W37,2026-09-07,FL-105,"Pinot Noir, Willamette 2023",10,38.00,380.00
2026-W37,2026-09-07,FL-106,"Sauvignon Blanc, Marlborough 2025",21,19.00,399.00
2026-W37,2026-09-07,FL-107,Rioja Crianza 2021,12,22.00,264.00
2026-W37,2026-09-07,FL-108,"Chardonnay, Sonoma 2023",11,28.00,308.00
2026-W37,2026-09-07,FL-109,Côtes du Rhône 2023,20,18.00,360.00
2026-W37,2026-09-07,FL-110,"Albariño, Rías Baixas 2024",10,23.00,230.00
2026-W37,2026-09-07,FL-111,"Cabernet Sauvignon, Paso Robles 2022",14,30.00,420.00
2026-W37,2026-09-07,FL-112,Grüner Veltliner 2024,6,20.00,120.00
2026-W37,2026-09-07,FL-113,Barbera d'Asti 2023,12,21.00,252.00
2026-W37,2026-09-07,FL-114,Crémant de Loire NV,8,26.00,208.00
2026-W37,2026-09-07,FL-115,"Zinfandel, Lodi 2022",9,22.00,198.00
2026-W37,2026-09-07,FL-116,Muscadet 2024,8,16.00,128.00
2026-W37,2026-09-07,TW-201,Prosecco NV,18,18.00,324.00
2026-W37,2026-09-07,TW-202,Vinho Verde 2025,25,13.00,325.00
2026-W37,2026-09-07,TW-203,Chianti Classico 2022,12,24.00,288.00
2026-W37,2026-09-07,TW-204,Montepulciano d'Abruzzo 2023,31,14.00,434.00
2026-W37,2026-09-07,TW-205,"Pinot Grigio, Alto Adige 2024",13,19.00,247.00
2026-W37,2026-09-07,TW-206,Nero d'Avola 2023,12,16.00,192.00
2026-W37,2026-09-07,TW-207,"Garnacha, Calatayud 2023",12,14.00,168.00
2026-W37,2026-09-07,TW-208,"Verdejo, Rueda 2024",8,15.00,120.00
2026-W37,2026-09-07,TW-209,Douro Red 2022,8,19.00,152.00
2026-W37,2026-09-07,TW-210,Lambrusco NV,5,17.00,85.00
2026-W37,2026-09-07,TW-211,"Primitivo, Puglia 2023",15,18.00,270.00
2026-W37,2026-09-07,TW-212,Txakoli 2024,4,24.00,96.00
2026-W38,2026-09-14,FL-101,Sancerre 2024,8,32.00,256.00
2026-W38,2026-09-14,FL-102,"House Malbec, Mendoza 2023",38,16.00,608.00
2026-W38,2026-09-14,FL-103,"Dry Rosé, Provence 2025",14,20.00,280.00
2026-W38,2026-09-14,FL-104,Champagne Brut NV,4,62.00,248.00
2026-W38,2026-09-14,FL-105,"Pinot Noir, Willamette 2023",9,38.00,342.00
2026-W38,2026-09-14,FL-106,"Sauvignon Blanc, Marlborough 2025",20,19.00,380.00
2026-W38,2026-09-14,FL-107,Rioja Crianza 2021,15,22.00,330.00
2026-W38,2026-09-14,FL-108,"Chardonnay, Sonoma 2023",10,28.00,280.00
2026-W38,2026-09-14,FL-109,Côtes du Rhône 2023,24,18.00,432.00
2026-W38,2026-09-14,FL-110,"Albariño, Rías Baixas 2024",9,23.00,207.00
2026-W38,2026-09-14,FL-111,"Cabernet Sauvignon, Paso Robles 2022",10,30.00,300.00
2026-W38,2026-09-14,FL-112,Grüner Veltliner 2024,6,20.00,120.00
2026-W38,2026-09-14,FL-113,Barbera d'Asti 2023,11,21.00,231.00
2026-W38,2026-09-14,FL-114,Crémant de Loire NV,9,26.00,234.00
2026-W38,2026-09-14,FL-115,"Zinfandel, Lodi 2022",9,22.00,198.00
2026-W38,2026-09-14,FL-116,Muscadet 2024,7,16.00,112.00
2026-W38,2026-09-14,TW-201,Prosecco NV,21,18.00,378.00
2026-W38,2026-09-14,TW-202,Vinho Verde 2025,22,13.00,286.00
2026-W38,2026-09-14,TW-203,Chianti Classico 2022,16,24.00,384.00
2026-W38,2026-09-14,TW-204,Montepulciano d'Abruzzo 2023,28,14.00,392.00
2026-W38,2026-09-14,TW-205,"Pinot Grigio, Alto Adige 2024",12,19.00,228.00
2026-W38,2026-09-14,TW-206,Nero d'Avola 2023,12,16.00,192.00
2026-W38,2026-09-14,TW-207,"Garnacha, Calatayud 2023",10,14.00,140.00
2026-W38,2026-09-14,TW-208,"Verdejo, Rueda 2024",8,15.00,120.00
2026-W38,2026-09-14,TW-209,Douro Red 2022,7,19.00,133.00
2026-W38,2026-09-14,TW-210,Lambrusco NV,5,17.00,85.00
2026-W38,2026-09-14,TW-211,"Primitivo, Puglia 2023",14,18.00,252.00
2026-W38,2026-09-14,TW-212,Txakoli 2024,5,24.00,120.00
