week,week_starting,item,units,unit_price,revenue,unit_cost,gross_margin
2026-W35,2026-08-24,Almond croissant,181,4.95,895.95,1.41,640.74
2026-W35,2026-08-24,Sourdough loaf,251,8.50,2133.50,2.05,1618.95
2026-W35,2026-08-24,Cinnamon roll,303,4.50,1363.50,1.02,1054.44
2026-W35,2026-08-24,Pumpkin loaf slice,111,3.75,416.25,0.88,318.57
2026-W35,2026-08-24,Pumpkin spice latte,166,5.95,987.70,1.20,788.50
2026-W35,2026-08-24,Drip coffee,831,2.75,2285.25,0.38,1969.47
2026-W35,2026-08-24,Seasonal quiche,135,6.50,877.50,2.10,594.00
2026-W36,2026-08-31,Butter croissant,335,4.75,1591.25,1.38,1128.95
2026-W36,2026-08-31,Almond croissant,152,5.45,828.40,1.66,576.08
2026-W36,2026-08-31,Sourdough loaf,261,8.50,2218.50,2.08,1675.62
2026-W36,2026-08-31,Cinnamon roll,301,4.50,1354.50,1.10,1023.40
2026-W36,2026-08-31,Pumpkin loaf slice,137,3.75,513.75,0.90,390.45
2026-W36,2026-08-31,Pumpkin spice latte,218,5.95,1297.10,1.22,1031.14
2026-W36,2026-08-31,Drip coffee,825,2.75,2268.75,0.39,1947.00
2026-W36,2026-08-31,Seasonal quiche,140,6.50,910.00,2.35,581.00
2026-W37,2026-09-07,Butter croissant,338,4.75,1605.50,1.38,1139.06
2026-W37,2026-09-07,Almond croissant,150,5.45,817.50,1.66,568.50
2026-W37,2026-09-07,Sourdough loaf,247,8.50,2099.50,2.08,1585.74
2026-W37,2026-09-07,Cinnamon roll,304,4.50,1368.00,1.10,1033.60
2026-W37,2026-09-07,Pumpkin loaf slice,173,3.75,648.75,0.90,493.05
2026-W37,2026-09-07,Pumpkin spice latte,239,5.95,1422.05,1.22,1130.47
2026-W37,2026-09-07,Drip coffee,834,2.75,2293.50,0.39,1968.24
2026-W37,2026-09-07,Seasonal quiche,144,6.50,936.00,2.35,597.60
2026-W38,2026-09-14,Butter croissant,325,4.75,1543.75,1.38,1095.25
2026-W38,2026-09-14,Almond croissant,158,5.45,861.10,1.66,598.82
2026-W38,2026-09-14,Sourdough loaf,258,8.50,2193.00,2.08,1656.36
2026-W38,2026-09-14,Cinnamon roll,301,4.50,1354.50,1.10,1023.40
2026-W38,2026-09-14,Pumpkin loaf slice,200,3.75,750.00,0.90,570.00
2026-W38,2026-09-14,Pumpkin spice latte,292,5.95,1737.40,1.22,1381.16
2026-W38,2026-09-14,Drip coffee,837,2.75,2301.75,0.39,1975.32
2026-W38,2026-09-14,Seasonal quiche,134,6.50,871.00,2.35,556.10
